STUDY_ID,REVIEWERS,INCLUDE,Record.Number,Author,Year,Title,Abstract,Reference.Type,Journal,Volume,Pages,Issue,Keywords,Accession.Number,DOI,ISSN
414,Jonny,NO,3409,"Mladenova, Z.;Nawaz, S.;Ganesh, B.;Iturriza-Gomara, M.",2015,Increased detection of G3P[9] and G6P[9] rotavirus strains in hospitalized children with acute diarrhea in Bulgaria,"Rotavirus severe disease in children is now vaccine-preventable and the roll-out of vaccination programs globally is expected to make a significant impact in the reduction of morbidity and mortality in children <5 years of age. Rotavirus is also a pathogen of other mammals and birds, and its segmented RNA genome can lead to the emergence of new or unusual strains in human population via interspecies transmission and reassortment events. Despite the efficacy and impact of rotavirus vaccine in preventing severe diarrhea, the correlates of protection remain largely unknown. Therefore, rotavirus strain surveillance before, during and after the introduction of immunization programs remains a crucial for monitoring rotavirus vaccine efficacy and impact. In this context, molecular characterization of 1323 Bulgarian rotavirus strains collected between June 2010 and May 2013 was performed. A total of 17 strains of interest were analyzed by partial sequence analysis. Twelve strains were characterized as G3P[9] and G6P[9] of potential animal origin. Phylogenetic analysis and comparisons with the same specificity strains detected sporadically between 2006 and 2010 revealed the constant circulation of these unusual human strains in Bulgaria, although in low prevalence, and their increased potential for person-to-person spread.",Journal Article,Infect Genet Evol,29,,118-26,"Bulgaria;Child, Preschool;Diarrhea, Infantile/*virology;Female;Hospitalization;Humans;Infant;Male;Molecular Sequence Data;Phylogeny;RNA, Viral/*genetics;Rotavirus/*classification/*genetics/isolation & purification;Rotavirus Infections/*virology;Sequence Analysis, RNA;Human strain;Reassortant;Rotavirus;Rotavirus vaccine;Zoonotic transmission",25461849,10.1016/j.meegid.2014.11.011,1567-1348
415,Jonny,maybe,4420,"Mombo, I. M.;Berthet, N.;Lukashev, A. N.;Bleicker, T.;Br?nink, S.;L?ger, L.;Atencia, R.;Cox, D.;Bouchier, C.;Durand, P.;Arnathau, C.;Brazier, L.;Fair, J. N.;Schneider, B. S.;Drexler, J. F.;Prugnolle, F.;Drosten, C.;Renaud, F.;Leroy, E. M.;Rougeron, V.",2015,"First Detection of an Enterovirus C99 in a Captive Chimpanzee with Acute Flaccid Paralysis, from the Tchimpounga Chimpanzee Rehabilitation Center, Republic of Congo","Enteroviruses, members of the Picornaviridae family, are ubiquitous viruses responsible for mild to severe infections in human populations around the world. In 2010 Pointe-Noire, Republic of Congo recorded an outbreak of acute flaccid paralysis (AFP) in the humans, caused by wild poliovirus type 1 (WPV1). One month later, in the Tchimpounga sanctuary near Pointe-Noire, a chimpanzee developed signs similar to AFP, with paralysis of the lower limbs. In the present work, we sought to identify the pathogen, including viral and bacterial agents, responsible for this illness. In order to identify the causative agent, we evaluated a fecal specimen by PCR and sequencing. A Human enterovirus C, specifically of the EV-C99 type was potentially responsible for the illness in this chimpanzee. To rule out other possible causative agents, we also investigated the bacteriome and the virome using next generation sequencing. The majority of bacterial reads obtained belonged to commensal bacteria (95%), and the mammalian virus reads matched mainly with viruses of the Picornaviridae family (99%), in which enteroviruses were the most abundant (99.6%). This study thus reports the first identification of a chimpanzee presenting AFP most likely caused by an enterovirus and demonstrates once again the cross-species transmission of a human pathogen to an ape.",Journal Article,PLoS One,10,8,e0136700,"Animals;Congo;Disease Outbreaks;Enterovirus C, Human/isolation & purification/*pathogenicity;Enterovirus Infections/epidemiology/microbiology/*virology;Feces/microbiology/virology;High-Throughput Nucleotide Sequencing;Humans;Pan troglodytes/microbiology/*virology;Paralysis/epidemiology/microbiology/*virology;Poliovirus/isolation & purification/pathogenicity",26301510,10.1371/journal.pone.0136700,1932-6203
416,Jonny,maybe,1921,"Mombo, I. M.;Boundenga, L.;Suquet, E.;Ngoubangoye, B.;Maganga, G. D.;Leroy, E. M.;Charpentier, M. J.;Rougeron, V.",2021,Natural infection of free-ranging mandrills (Mandrillus sphinx) by enteroviruses and astroviruses in southern Gabon,"Enteroviruses (Picornaviridae) and astroviruses (Astroviridae) cause various diseases in humans and animals, including in non-human primates (NHPs). Some enteroviruses and astroviruses detected in NHPs are genetically related to those infecting humans, indicating the occurrence of interspecies transmissions. In this study, we screened 200 fecal samples of 56 free-ranging mandrills (Mandrillus sphinx) by nested reverse transcription-PCR with primers targeting the VP1 and RdRp genes, to evaluate the diversity of enterovirus and astrovirus infection, respectively, and the associated zoonotic risk. Overall, ten samples from six mandrills were enterovirus-positive (5%), and three samples from three mandrills were astrovirus-positive (1.5%). This is the first evidence of astrovirus infection in mandrills. Phylogenetic analyses based on the VP1 sequences revealed that all ten enterovirus sequences were part of the species Enterovirus J, suggesting low zoonotic risk. Phylogenetic analysis of the three astrovirus sequences showed that they all belonged to the Mamastrovirus genus. Two astrovirus sequences were highly divergent from all human astrovirus sequences (63.4-73% nucleotide identity), while one sequence (AstV-5) suggested cross-species transmission from humans to mandrills. Additional studies are needed to better characterize the identified astroviruses and to confirm whether mandrills are host of astroviruses than can be transmitted to humans.",Journal Article,Microb Pathog,150,,104659,Animals;*Astroviridae Infections/epidemiology/veterinary;*Enterovirus/genetics;Gabon/epidemiology;*Mandrillus;Phylogeny;Astroviruses;Cross-species transmission;Enteroviruses;Mandrills,33249166,10.1016/j.micpath.2020.104659,0882-4010
417,Jonny,NO,1898,"Monamele, C. G.;Y, P.;Karlsson, E. A.;Vernet, M. A.;Wade, A.;Okomo, M. A.;Abah, A. S. A.;Yann, S.;Etoundi, G. A. M.;Mohamadou, N. R.;Feussom, J. M.;Horm, S.;Horwood, P. F.;Ly, S.;Njouom, R.;Dussart, P.",2019,Evidence of exposure and human seroconversion during an outbreak of avian influenza A(H5N1) among poultry in Cameroon,"From May 2016 to March 2017, 22 poultry outbreaks of avian influenza A(H5N1) were reported in Cameroon, mainly in poultry farms and live bird markets. No human cases were reported. In this study, we sought to describe the 2016 A(H5N1) outbreak strain and to investigate the risk of infection in exposed individuals. We find that highly pathogenic influenza subtype A(H5N1), clade 2.3.2.1c from Cameroon is closely related phylogenetically and antigenically to strains isolated in central and western Africa at the time. No molecular markers of increased human transmissibility were noted; however, seroconversion was detected in two poultry workers (1.5% of total screened). Therefore, the continued outbreaks of avian influenza in poultry and the risk of zoonotic human infection highlight the crucial need for continued and vigilant influenza surveillance and research in Africa, especially in areas of high poultry trade, such as Cameroon.",Journal Article,Emerg Microbes Infect,8,1,186-196,"Adolescent;Adult;Africa, Central/epidemiology;Africa, Western/epidemiology;Aged;Aged, 80 and over;Animals;Cameroon/epidemiology;Disease Outbreaks/*veterinary;Farmers;Female;Humans;Influenza A Virus, H5N1 Subtype/classification/*immunology;Influenza in Birds/*epidemiology/immunology/virology;Influenza, Human/*epidemiology/immunology/virology;Male;Middle Aged;Phylogeny;Phylogeography;Poultry;Seroconversion;Young Adult;Zoonoses/virology;Africa;Avian influenza;Cameroon;H5n1;Zoonoses;outbreak;surveillance",30866772,10.1080/22221751.2018.1564631,2222-1751
418,Jonny,NO,3163,"Moncla, L. H.;Bedford, T.;Dussart, P.;Horm, S. V.;Rith, S.;Buchy, P.;Karlsson, E. A.;Li, L.;Liu, Y.;Zhu, H.;Guan, Y.;Friedrich, T. C.;Horwood, P. F.",2020,Quantifying within-host diversity of H5N1 influenza viruses in humans and poultry in Cambodia,"Avian influenza viruses (AIVs) periodically cross species barriers and infect humans. The likelihood that an AIV will evolve mammalian transmissibility depends on acquiring and selecting mutations during spillover, but data from natural infection is limited. We analyze deep sequencing data from infected humans and domestic ducks in Cambodia to examine how H5N1 viruses evolve during spillover. Overall, viral populations in both species are predominated by low-frequency (<10%) variation shaped by purifying selection and genetic drift, and half of the variants detected within-host are never detected on the H5N1 virus phylogeny. However, we do detect a subset of mutations linked to human receptor binding and replication (PB2 E627K, HA A150V, and HA Q238L) that arose in multiple, independent humans. PB2 E627K and HA A150V were also enriched along phylogenetic branches leading to human infections, suggesting that they are likely human-adaptive. Our data show that H5N1 viruses generate putative human-adapting mutations during natural spillover infection, many of which are detected at >5% frequency within-host. However, short infection times, genetic drift, and purifying selection likely restrict their ability to evolve extensively during a single infection. Applying evolutionary methods to sequence data, we reveal a detailed view of H5N1 virus adaptive potential, and develop a foundation for studying host-adaptation in other zoonotic viruses.",Journal Article,PLoS Pathog,16,1,e1008191,"Animals;Cambodia;Ducks/virology;Evolution, Molecular;Humans;Influenza A Virus, H5N1 Subtype/classification/genetics/*isolation & purification;Influenza in Birds/*virology;Influenza, Human/*virology;Mutation;Phylogeny;Viral Proteins/genetics",31951644,10.1371/journal.ppat.1008191,1553-7366 (Print);1553-7366
419,Jonny,maybe,1964,"Montagnaro, S.;De Martinis, C.;Sasso, S.;Ciarcia, R.;Damiano, S.;Auletta, L.;Iovane, V.;Zottola, T.;Pagnini, U.",2015,Viral and Antibody Prevalence of Hepatitis E in European Wild Boars (Sus scrofa) and Hunters at Zoonotic Risk in the Latium Region,"Hepatitis E virus (HEV) is a member of the genus Hepevirus within the family Hepeviridae. Hepatitis E is recognized as a zoonosis, and swine and wild boars (Sus scrofa) are known reservoirs of HEV infection. The aim of this study was to investigate the presence of HEV in wild boars and hunters exposed to infection in central Italy (Latium region). During the hunting season, blood samples were collected from 228 wild boars and 20 hunters. The seroprevalence of HEV infection was determined using a commercial enzyme-linked immunosorbent assay, previously validated for use in man, pigs and wild boars. The estimated HEV seroprevalence in wild boars and in hunters was 40.7% (93/228; 95% confidence interval [CI] 34.4-47.1%) and 25% (5/20; 95% CI 6.1-43.9%), respectively. Liver samples were collected from the boars and HEV RNA was detected by nested reverse transcriptase polymerase chain reaction. Fifty-five of 164 tested wild boar liver samples (33.5%; 95% CI 26.2-40.7%) and three of 20 (15.0%; 95% CI 1.3-28.7%) tested human serum samples were positive for HEV RNA. Phylogenetic analysis of the nucleotide sequences obtained from PCR products indicated that the HEV strains present in wild boars and the human population all belonged to genotype 3, supporting the zoonotic role of wild boars in the spread of HEV infection.",Journal Article,J Comp Pathol,153,1,01-Aug,"Animals;Antibodies, Viral/blood;Enzyme-Linked Immunosorbent Assay;Female;Hepatitis E/epidemiology/transmission/*veterinary;Humans;Italy/epidemiology;Male;Prevalence;RNA, Viral/analysis;Reverse Transcriptase Polymerase Chain Reaction;Seroepidemiologic Studies;Sus scrofa/*virology;Swine;Swine Diseases/virology;Zoonoses/*epidemiology;European wild boar;hepatitis E virus;human",26025105,10.1016/j.jcpa.2015.04.006,0021-9975
420,Jonny,maybe,4248,"Mora, M.;Napolitano, C.;Ortega, R.;Poulin, E.;Pizarro-Lucero, J.",2015,"Feline immunodeficiency virus and feline leukemia virus infection in free-ranging guignas (Leopardus guigna) and sympatric domestic cats in human perturbed landscapes on Chilo? Island, Chile","Feline immunodeficiency virus (FIV) and feline leukemia virus (FeLV) are two of the most common viruses affecting domestic cats (Felis catus). During the last two decades, reports show that both viruses also infect or affect other species of the family Felidae. Human landscape perturbation is one of the main causes of emerging diseases in wild animals, facilitating contact and transmission of pathogens between domestic and wild animals. We investigated FIV and FeLV infection in free-ranging guignas (Leopardus guigna) and sympatric domestic cats in human perturbed landscapes on Chilo? Island, Chile. Samples from 78 domestic cats and 15 guignas were collected from 2008 to 2010 and analyzed by PCR amplification and sequencing. Two guignas and two domestic cats were positive for FIV; three guignas and 26 domestic cats were positive for FeLV. The high percentage of nucleotide identity of FIV and FeLV sequences from both species suggests possible interspecies transmission of viruses, facilitated by increased contact probability through human invasion into natural habitats, fragmentation of guigna habitat, and poultry attacks by guignas. This study enhances our knowledge on the transmission of pathogens from domestic to wild animals in the global scenario of human landscape perturbation and emerging diseases.",Journal Article,J Wildl Dis,51,1,199-208,"Animals;Animals, Wild;Cat Diseases/epidemiology/virology;Cats;Chile/epidemiology;Felidae/*virology;Human Activities;*Immunodeficiency Virus, Feline;Islands;Lentivirus Infections/epidemiology/*veterinary;*Leukemia Virus, Feline;Retroviridae Infections/epidemiology/*veterinary/virology;Tumor Virus Infections/epidemiology/*veterinary/virology;Emerging diseases;Fiv;FeLV;Felis catus;Leopardus guigna;human landscape perturbation",25380363,10.7589/2014-04-114,0090-3558
421,Jonny,NO,3071,"Mostafavi, E.;Chinikar, S.;Esmaeili, S.;Amiri, F. B.;Tabrizi, A. M.;KhakiFirouz, S.",2012,"Seroepidemiological survey of Crimean-Congo hemorrhagic fever among sheep in Mazandaran province, northern Iran","Crimean-Congo hemorrhagic fever (CCHF) is a disease prevalent among humans and animals and is endemic in Iran. Although CCHF has been reported in all of its neighboring provinces, in Mazandaran in northern Iran there have been no reports of any cases of human infection. This research has been carried out to clarify the epidemiological aspects of CCHF infection among sheep in various geographical regions of Mazandaran province. In this survey, 270 blood samples were collected from sheep in eastern, central, and western Mazandaran between 2010 and 2011, and the specific ELISA test for CCHF virus was carried out on the blood samples in the National Reference Laboratory in the Pasteur Institute, Tehran, Iran. The CCHF infection rate according to this study was 3.7%. A weak statistical relationship (p=0.063) was seen between the different geographical regions, with a gradual decrease in the infection rate noted, stretching from the eastern to the western portions of the province (eastern 6.8%, central 2.8%, and western 0%). Older sheep were 2.7 times more likely to be infected with the virus (OR 2.70; 95% CI 1.50,4.87; p<0.001). As the infection rate in Mazandaran is low among sheep, and as yet there have been no reports of human infection in this province, CCHF disease is not considered a serious health problem in Mazandaran. It is recommended that further research be carried out on other animals, high-risk human groups, and ticks, in order to more completely reveal the status of the disease in this province.",Journal Article,Vector Borne Zoonotic Dis,12,9,739-42,"Age Factors;Animals;Antibodies, Viral/*blood;Enzyme-Linked Immunosorbent Assay;Female;Geography;Hemorrhagic Fever Virus, Crimean-Congo/*immunology;Hemorrhagic Fever, Crimean/epidemiology/*veterinary/virology;Humans;Immunoglobulin G/blood;Iran/epidemiology;Male;Seroepidemiologic Studies;Sheep;Sheep Diseases/*epidemiology/virology;Zoonoses",22917135,10.1089/vbz.2011.0958,1530-3667 (Print);1530-3667
422,Jonny,maybe,1688,"Mostafavi, E.;Pourhossein, B.;Esmaeili, S.;Bagheri Amiri, F.;Khakifirouz, S.;Shah-Hosseini, N.;Tabatabaei, S. M.",2017,Seroepidemiology and risk factors of Crimean-Congo Hemorrhagic Fever among butchers and slaughterhouse workers in southeastern Iran,"OBJECTIVE: Crimean-Congo Haemorrhagic Fever (CCHF) is a viral zoonotic disease. Butchers and slaughterhouse workers are considered to be high risk occupational groups for the disease. Sistan and Baluchistan province is an area in southeastern Iran which is endemic for CCHF, and the most confirmed cases of the disease are reported from this province. The aim of this study was to investigate the seroprevalence of CCHF and risk factors for seropositivity among them in Sistan and Baluchistan province in 2011. METHODS: Questionnaire data and blood sample collection were carried out for each participant and the sera samples were sent to the national reference laboratory for ELISA IgG testing. RESULTS: In this study, the seroprevalence of CCHF among 190 butchers and slaughterhouse workers from 11 counties was 16.49%. 79% of participants were aware that they were at risk of zoonosis and 39.7% did not use any personal protective equipment during their work. Of 31 CCHF IgG positive individuals in this study, eleven individuals had a previous record of CCHF infection in 57 months prior to the study. CONCLUSIONS: High seroprevalence of CCHF among butchers and slaughterhouse workers and minimal use of personal protective equipment's during daily work indicates the need for training courses, for these groups to increase their knowledge, attitude and practice with respect to zoonosis.",Journal Article,Int J Infect Dis,64,,85-89,"*Abattoirs;Adult;Aged;Aged, 80 and over;Animals;Enzyme-Linked Immunosorbent Assay;Hemorrhagic Fever Virus, Crimean-Congo/immunology;Hemorrhagic Fever, Crimean/*epidemiology;Humans;Immunoglobulin G/blood/immunology;Iran/epidemiology;Male;Middle Aged;Occupational Diseases/*epidemiology;Prevalence;Risk Factors;Seroepidemiologic Studies;Surveys and Questionnaires;Zoonoses/*epidemiology;Butchers;Crimean-Congo Haemorrhagic Fever;Iran;Seroepidemiology;Slaughterhouse Workers",28935247,10.1016/j.ijid.2017.09.008,1201-9712
423,Jonny,NO,5105,"Motlou, T. P.;Williams, J.;Venter, M.",2021,Epidemiology of Shuni Virus in Horses in South Africa,"The Orthobunyavirus genus, family Peribunyaviridae, contains several important emerging and re-emerging arboviruses of veterinary and medical importance. These viruses may cause mild febrile illness, to severe encephalitis, fetal deformity, abortion, hemorrhagic fever and death in humans and/or animals. Shuni virus (SHUV) is a zoonotic arbovirus thought to be transmitted by hematophagous arthropods. It was previously reported in a child in Nigeria in 1966 and horses in Southern Africa in the 1970s and again in 2009, and in humans with neurological signs in 2017. Here we investigated the epidemiology and phylogenetic relationship of SHUV strains detected in horses presenting with febrile and neurological signs in South Africa. In total, 24/1820 (1.3%) horses submitted to the zoonotic arbovirus surveillance program tested positive by real-time reverse transcription (RTPCR) between 2009 and 2019. Cases were detected in all provinces with most occurring in Gauteng (9/24, 37.5%). Neurological signs occurred in 21/24 (87.5%) with a fatality rate of 45.8%. Partial sequencing of the nucleocapsid gene clustered the identified strains with SHUV strains previously identified in South Africa (SA). Full genome sequencing of a neurological case detected in 2016 showed 97.8% similarity to the SHUV SA strain (SAE18/09) and 97.5% with the Nigerian strain and 97.1% to the 2014 Israeli strain. Our findings suggest that SHUV is circulating annually in SA and despite it being relatively rare, it causes severe neurological disease and death in horses.",Journal Article,Viruses,13,5,,"Africa, Southern/epidemiology;Animals;Bunyaviridae Infections/*veterinary;Female;Genome, Viral;Genomics/methods;Geography, Medical;Horse Diseases/diagnosis/*epidemiology/*virology;Horses;Male;*Orthobunyavirus/classification/genetics;Phylogeny;Seasons;Whole Genome Sequencing;*rt-pcr;*Shuni virus;*South Africa;*epidemiology;*horse;*neurological disease;*orthobunyavirus",34069356,10.3390/v13050937,1999-4915
424,Jonny,maybe,2174,"Mouinga-Ond?m?, A.;Betsem, E.;Caron, M.;Makuwa, M.;Sall?, B.;Renault, N.;Saib, A.;Telfer, P.;Marx, P.;Gessain, A.;Kazanji, M.",2010,Two distinct variants of simian foamy virus in naturally infected mandrills (Mandrillus sphinx) and cross-species transmission to humans,"BACKGROUND: Each of the pathogenic human retroviruses (HIV-1/2 and HTLV-1) has a nonhuman primate counterpart, and the presence of these retroviruses in humans results from interspecies transmission. The passage of another simian retrovirus, simian foamy virus (SFV), from apes or monkeys to humans has been reported. Mandrillus sphinx, a monkey species living in central Africa, is naturally infected with SFV. We evaluated the natural history of the virus in a free-ranging colony of mandrills and investigated possible transmission of mandrill SFV to humans. RESULTS: We studied 84 semi-free-ranging captive mandrills at the Primate Centre of the Centre International de Recherches M?dicales de Franceville (Gabon) and 15 wild mandrills caught in various areas of the country. The presence of SFV was also evaluated in 20 people who worked closely with mandrills and other nonhuman primates. SFV infection was determined by specific serological (Western blot) and molecular (nested PCR of the integrase region in the polymerase gene) assays. Seropositivity for SFV was found in 70/84 (83%) captive and 9/15 (60%) wild-caught mandrills and in 2/20 (10%) humans. The 425-bp SFV integrase fragment was detected in peripheral blood DNA from 53 captive and 8 wild-caught mandrills and in two personnel. Sequence and phylogenetic studies demonstrated the presence of two distinct strains of mandrill SFV, one clade including SFVs from mandrills living in the northern part of Gabon and the second consisting of SFV from animals living in the south. One man who had been bitten 10 years earlier by a mandrill and another bitten 22 years earlier by a macaque were found to be SFV infected, both at the Primate Centre. The second man had a sequence close to SFVmac sequences. Comparative sequence analysis of the virus from the first man and from the mandrill showed nearly identical sequences, indicating genetic stability of SFV over time. CONCLUSION: Our results show a high prevalence of SFV infection in a semi-free-ranging colony of mandrills, with the presence of two different strains. We also showed transmission of SFV from a mandrill and a macaque to humans.",Journal Article,Retrovirology,7,,105,Adult;Animal Technicians;Animals;Female;Humans;Male;Mandrillus/*virology;Middle Aged;Molecular Sequence Data;Monkey Diseases/transmission/*virology;Occupational Diseases/*virology;Occupational Exposure/*adverse effects;Phylogeny;Retroviridae Infections/*transmission/*veterinary/virology;Simian foamy virus/classification/genetics/isolation & purification/*physiology;Young Adult,21156043,10.1186/1742-4690-7-105,1742-4690
425,Jonny,maybe,2784,"Mouinga-Ond?m?, A.;Caron, M.;Nkogh?, D.;Telfer, P.;Marx, P.;Sa?b, A.;Leroy, E.;Gonzalez, J. P.;Gessain, A.;Kazanji, M.",2012,"Cross-species transmission of simian foamy virus to humans in rural Gabon, Central Africa","In order to characterize simian foamy retroviruses (SFVs) in wild-born nonhuman primates (NHPs) in Gabon and to investigate cross-species transmission to humans, we obtained 497 NHP samples, composed of 286 blood and 211 tissue (bush meat) samples. Anti-SFV antibodies were found in 31 of 286 plasma samples (10.5%). The integrase gene sequence was found in 38/497 samples, including both blood and tissue samples, with novel SFVs in several Cercopithecus species. Of the 78 humans, mostly hunters, who had been bitten or scratched by NHPs, 19 were SFV seropositive, with 15 cases confirmed by PCR. All but one were infected with ape SFV. We thus found novel SFV strains in NHPs in Gabon and high cross-species transmission of SFVs from gorilla bites.",Journal Article,J Virol,86,2,1255-60,"Adolescent;Adult;Animals;Antibodies, Viral/immunology;Cercopithecus;Child;Child, Preschool;Female;Gabon;Humans;Male;Molecular Sequence Data;Phylogeny;Primate Diseases/immunology/*transmission/virology;Primates;Retroviridae Infections/immunology/*transmission/*veterinary/virology;Rural Health;Simian foamy virus/classification/immunology/isolation & purification/*physiology;Young Adult",22072747,10.1128/jvi.06016-11,0022-538X (Print);0022-538x
426,Jonny,NO,6825,"Muianga, A. F.;Watson, R.;Varghese, A.;Chongo, I. S.;Ali, S.;Monteiro, V.;Inalda, F.;Chelene, I.;Ant?nio, V.;Hewson, R.;Gudo, E. S.",2017,First serological evidence of Crimean-Congo haemorrhagic fever in febrile patients in Mozambique,"OBJECTIVE: Despite its geographical spread, the epidemiology of Crimean-Congo haemorrhagic fever (CCHF) in Sub-Saharan Africa is incompletely understood and its occurrence in Mozambique is unknown. This study was conducted with the aim of investigating the occurrence of CCHF virus (CCHFV) among febrile patients attending an outpatient appointment clinic at three separate primary health care centres in Mozambique. METHODS: Serum samples were collected from a total of 300 febrile patients aged >5 years who were recruited between March 2015 and March 2016 at three health centres in Mozambique. Each patient was screened for IgG antibodies against CCHFV using an ELISA. RESULTS: Of the 300 patients enrolled, eight had samples that were positive for anti-CCHFV IgG antibodies, yielding a prevalence rate of 2.7%. CONCLUSIONS: This study shows for the first time that humans are exposed to CCHFV in Mozambique. It highlights the need for further work to investigate the broader extent of circulating CCHFV in the country and its clinical implications.",Journal Article,Int J Infect Dis,62,,119-123,"Adult;Antibodies, Viral/blood/immunology;Cross-Sectional Studies;Enzyme-Linked Immunosorbent Assay;Female;Fever/virology;*Hemorrhagic Fever Virus, Crimean-Congo/immunology;Hemorrhagic Fever, Crimean/blood/*diagnosis/epidemiology;Humans;Immunoglobulin G/immunology;Male;Middle Aged;Mozambique/epidemiology;Young Adult;Acute febrile illness;Cchf;Haemorrhagic fever;Maputo;Mozambique;Tick-borne infection;Zoonosis",28782604,10.1016/j.ijid.2017.07.024,1201-9712
427,Jonny,maybe,606,"Mukherjee, A.;Dutta, D.;Ghosh, S.;Bagchi, P.;Chattopadhyay, S.;Nagashima, S.;Kobayashi, N.;Dutta, P.;Krishnan, T.;Naik, T. N.;Chawla-Sarkar, M.",2009,Full genomic analysis of a human group A rotavirus G9P[6] strain from Eastern India provides evidence for porcine-to-human interspecies transmission,"Deduced amino acid sequence and phylogenetic analyses of a group A rotavirus G9P[6] strain (designated as mcs/13-07), detected from a 3-year-old child in Eastern India, revealed a VP8* closely related to porcine P[6] strains (P[6] sublineage 1D), and the VP7 clustered with G9 lineage-III strains. To our knowledge, this is the first report of human P[6] strain clustering in sublineage Id. Thus, to further characterize the evolutionary diversity of strain mcs/13-07, all gene segments were analyzed. VP6 and NSP4 exhibited genetic relatedness to Wa-like human subgroup II strains, while VP1-3, NSP1-3 and NSP5 were closely related to porcine strains. Based on the new classification system of rotaviruses, mcs/13-07 revealed a G9-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1 genotype with close similarity to human Wa-like and porcine Gottfried strains. Therefore, considering the porcine-like or porcine origin of multiple gene segments, it might be tempting to assume that strain mcs/13-07 represents a rare instance of whole-virus transmission from pig to human, after which the virus evolved with time. Alternatively, it is possible that strain mcs/13-07 resulted from multiple reassortment events involving human subgroup II and porcine P[6] strains. Nevertheless, detection of strain mcs/13-07 provides further evidence for complex interspecies transmission events, which are frequent in developing countries.",Journal Article,Arch Virol,154,5,733-46,"Animals;Child, Preschool;*Evolution, Molecular;*Genome, Viral;Humans;India;Male;Phylogeny;RNA, Viral/genetics;RNA-Binding Proteins/genetics;Rotavirus/classification/*genetics/isolation & purification;Rotavirus Infections/*transmission;Sequence Analysis, RNA;Sequence Homology, Amino Acid;Species Specificity;Swine/virology;Swine Diseases/transmission/virology;Viral Nonstructural Proteins/genetics;Zoonoses/*transmission/virology",19333549,10.1007/s00705-009-0363-3,0304-8608
428,Jonny,NO,503,"Mukherjee, A.;Ghosh, S.;Bagchi, P.;Dutta, D.;Chattopadhyay, S.;Kobayashi, N.;Chawla-Sarkar, M.",2011,"Full genomic analyses of human rotavirus G4P[4], G4P[6], G9P[19] and G10P[6] strains from North-eastern India: evidence for interspecies transmission and complex reassortment events","In hospitalized patients with acute gastroenteritis in Manipur, India, four rotavirus strains were found to possess VP7 and/or VP4 genes with porcine or bovine characteristics. Considering the animal-like nature of these strains, the remaining eight gene segments were analysed to decipher their exact origin. Analyses of full genome of these strains exhibited their origin from porcine/bovine rotaviruses. This study suggests single or multiple events of reassortment involving multiple gene segments of more than one host type among the strains and emphasizes the significance of complete genetic characterization of unusual strains in regions with high incidence and mortality rates.",Journal Article,Clin Microbiol Infect,17,9,1343-6,"Animals;Capsid Proteins/genetics;Cattle;Gastroenteritis/epidemiology/genetics/virology;*Genome, Viral;Humans;India/epidemiology;Phylogeny;Recombination, Genetic;Rotavirus/classification/*genetics/isolation & purification;Rotavirus Infections/epidemiology/genetics/transmission/*virology;Swine;Viral Nonstructural Proteins/genetics;Zoonoses/epidemiology/virology",21884295,10.1111/j.1469-0691.2010.03383.x,1198-743x
429,Jonny,NO,517,"Mukherjee, A.;Mullick, S.;Deb, A. K.;Panda, S.;Chawla-Sarkar, M.",2013,First report of human rotavirus G8P[4] gastroenteritis in India: evidence of ruminants-to-human zoonotic transmission,"Group A rotaviruses are the major cause of childhood gastroenteritis worldwide. Due to close proximity of human and cattle in rural areas of developing countries like India, interspecies transmission or zoonotic transmission is a major source of rapid generation of reassortants and genetic or antigenic variants. Previously, many human group A rotaviruses were found with porcine or bovine characteristics from eastern and north-eastern India. In this study, four unusual human G8P[4] strains were identified which had artiodactyl-like origins. During an ongoing community based surveillance for epidemiological profiling of diarrheal pathogens, these unusual human group A rotavirus G8P[4] strains were detected from the stool samples of 3-14 months old children with acute diarrhea in Sonarpur, eastern India. Analysis of eleven complete and/or partial gene segments of these unusual G8P[4] strains were done by reverse transcription-PCR (RT-PCR) followed by nucleotide sequencing and phylogenetic analysis. The VP7 nucleotide sequences revealed a close phylogenetic relationship to the G8P[7] porcine strain D-1 and bovine strain KJ59-2 from South Korea. Whereas the VP4 gene segments were also related closely to human rotavirus prototype strain DS-1. Other nine gene segments of these G8P[4] rotaviruses were related closely to either animal or animal-derived rotavirus members of the DS-1-like family. These results suggest that origin of these G8P[4] strains might have been resulted from multiple reassortment events between artiodactyls and ruminant-derived reassortant human rotaviruses. To date, this is the first report of G8P[4] rotavirus from India and the first genomic analysis of G8P[4] strains from Asian continent.",Journal Article,J Med Virol,85,3,537-45,"Animals;Cattle;Evolution, Molecular;Feces/virology;Female;Gastroenteritis/*diagnosis/*virology;Genotype;Humans;India;Infant;Male;Molecular Sequence Data;Phylogeny;RNA, Viral/genetics;Reassortant Viruses/classification/genetics/isolation & purification;Reverse Transcriptase Polymerase Chain Reaction;Rotavirus/*classification/genetics/*isolation & purification;Rotavirus Infections/*diagnosis/*virology;Sequence Analysis, DNA;Swine;Zoonoses/*transmission/virology",23280762,10.1002/jmv.23483,0146-6615
